lat,long,temp,humidity,wind,cloud,weather,pressure,sea level,forest,river,class
20.9765,86.4305,26.44,84,5.81,100,Clouds,995,11.98,91.13444444,2.158,1
24.1288,80.1999,24.97,95,6.82,100,Rain,996,395.33,80.2167,20.666,1
27.4363,87.0126,15.12,91,0.59,41,Clouds,1011,2903.48,84.96111111,2.27,1
17.9836,73.435,22.99,95,1.76,100,Rain,1007,137.04,88.69,3.514,1
16.9772,79.9654,25.48,91,3.33,100,Rain,1003,113.7,85.57444444,2.249,1
20.9915,86.2759,26.05,93,2.67,100,Rain,992,20.31,84.42666667,1.072,1
25.886,83.2115,28.7,81,1.86,42,Clouds,1003,76.61,91.51555556,21.133,1
21.1139,82.5389,24.87,92,3.94,100,Rain,1000,299.1,70.52444444,5.273,1
28.1973,79.3734,24.45,95,7.59,100,Rain,1003,161.25,87.83333333,2.242,1
21.7139,73.4733,26.27,96,2.11,100,Clouds,1004,138.62,28.99222222,2.268,1
21.9409,87.9347,25.3,92,4.33,100,Rain,1009,2.93,92.26333333,3.609,1
11.7804,78.7317,23.54,96,1.58,100,Rain,1011,838.58,93.45111111,8.584,1
17.4335,82.8115,26.04,89,2.03,96,Clouds,1010,5.34,80.22111111,2.415,1
18.7332,75.2343,24.92,84,5.74,94,Clouds,1000,581.53,45.00222222,1.751,1
10.5443,76.0498,26.3,91,3.62,99,Rain,1008,0,54.77555556,4.978,1
26.5993,94.0245,25.34,94,0.75,100,Rain,1001,90.98,91.47555556,6.145,1
25.6151,83.6713,29.95,77,3.86,95,Clouds,1002,59.78,61.78,22.727,1
19.1719,83.6477,25.67,88,4.45,100,Rain,992,208.13,92.99444444,1.403,1
19.1028,72.8816,26,83,3.6,90,Rain,999,8.87,8.378888889,5.691,1
22.4114,71.3097,27.83,86,5.07,100,Clouds,998,164.36,0,6.407,1
20.1943,73.8242,23.24,92,6.71,100,Rain,1005,629.56,61.03555556,2.472,1
18.1046,81.5288,26.23,92,1.61,100,Rain,1005,125.15,90.83666667,6.931,1
27.5853,81.5174,26.86,93,0.42,100,Rain,1002,114.91,92.43555556,5.909,1
32.8864,73.8842,26.3,89,1.62,8,Clear,1007,337.92,47.82111111,5.381,1
19.73,83.7466,23.81,96,1.18,100,Clouds,1005,476.82,96.89111111,2.227,1
14.1349,79.9324,25.2,90,1.65,100,Rain,1014,9.2,80.81666667,1.143,1
33.4819,74.2156,12.16,85,2.88,100,Rain,1013,1765.59,95.07777778,9.803,1
26.2558,94.0189,24.78,92,2.06,99,Rain,1000,116.95,89.91666667,2.504,1
14.945,78.1615,24.87,88,5.78,100,Rain,997,409.16,68.9785,2.115,1
20.0539,81.8601,23.22,98,6.69,100,Rain,996,629.48,22.03666667,1.321,1
21.0263,77.5237,25.25,93,6.61,100,Rain,994,307.25,92.01555556,1.754,1
22.0231,72.2495,28.84,86,7.13,100,Rain,996,-0.03,92.68452,24.458,1
22.6315,88.4871,26.98,95,0,40,Haze,998,4.34,61.28444444,2.079,1
27.5773,95.263,27.15,94,1.47,100,Rain,999,110,69.34666667,1.323,1
10.3906,76.3115,25.73,94,1.68,100,Rain,1009,7.44,78.24333333,2.474,1
20.4525,86.1978,27.79,93,1.58,69,Clouds,1003,13,86.00777778,6.349,1
22.6824,70.925,27.09,93,5.43,100,Rain,997,67.84,43.58333333,13.654,1
31.2388,76.5268,27.91,95,0.46,100,Rain,997,330.7,80.42333333,1.385,1
15.7067,79.878,26.31,90,1.02,92,Rain,1004,57.64,87.77888889,1.954,1
20.9096,86.4033,25.45,93,5.84,100,Rain,997,13.73,91.44555556,3.166,1
24.7214,93.9705,20.07,96,0,40,Clouds,1012,780.6,51.92777778,2.307,1
12.725,79.7002,24.21,95,2.42,100,Rain,1010,79.67,88.59444444,23.516,1
10.762,78.7172,25.01,94,0,75,Clouds,1008,85.2,42.95111111,4.154,1
26.4,93.755,24.79,92,0.63,48,Rain,1006,593.96,94.05222222,3.532,1
25.1835,91.5452,22.66,93,1.21,100,Rain,1004,78.29,86.81666667,2.452,1
25.2411,90.1201,26.4,95,3.4,100,Rain,1000,51.64,89.22,0.725,1
27.4995,89.7871,12.91,97,0.85,100,Rain,1011,2254.64,91.97111111,16.212,1
16.6523,81.3801,25.23,91,4.95,100,Rain,1001,3.56,92.96222222,2.792,1
