,lat,long,dt_txt,temp,humidity,wind,cloud,weather,pressure,sea level,forest,river,class
71,21.77,72.15,2020-05-13 23:30:00+05:30,31.68,70,3.73,3,Clear,1006,20.98,3.678888889,26.07680962,0.0
72,21.06,86.51,2020-08-17 20:30:00+05:30,28.46,93,1.92,98,Clouds,999,15.89,86.47666667,10.0,0.0
73,25.18,75.83,2020-08-03 05:30:00+05:30,28.95,79,1.0,20,Clouds,997,235.91,15.29888889,0.0,0.0
74,16.0,76.96,2020-09-27 14:30:00+05:30,30.18,67,2.96,77,Clouds,1008,371.66,92.81,100.0,0.0
75,23.08,87.32,2020-09-17 14:30:00+05:30,34.82,66,2.21,75,Clouds,1002,60.06,79.55555556,3.16227766,0.0
76,16.7,74.22,2020-04-16 05:30:00+05:30,25.89,87,1.53,87,Clouds,1011,561.54,42.15888889,9.219544457,0.0
77,25.73,82.68,2020-12-13 23:30:00+05:30,17.26,84,2.56,28,Clouds,1014,81.35,75.36555556,15.55634919,0.0
78,29.39,76.97,2020-05-01 17:30:00+05:30,38.23,30,2.76,27,Clouds,1003,235.74,31.49,37.0,0.0
79,26.75,94.2167,2021-02-11 20:30:00+05:30,17.99,83,1.37,1,Clear,1013,91.81,78.97666667,72.44998275,0.0
80,20.18,85.62,2020-02-10 23:30:00+05:30,19.19,83,0.93,0,Clear,1018,47.05,90.20444444,79.07591289,0.0
81,19.72,77.15,2020-09-17 20:30:00+05:30,27.03,88,2.45,84,Rain,1007,467.99,68.80777778,9.0,0.0
82,24.07,75.07,2020-09-23 23:30:00+05:30,25.73,96,3.31,100,Clouds,1004,435.46,69.41222222,11.70469991,0.0
83,19.87,82.93,2020-10-07 11:30:00+05:30,30.09,77,1.47,100,Rain,1008,216.86,84.91555556,10.0,0.0
84,21.7,81.53,2020-06-18 14:30:00+05:30,33.02,62,4.3,100,Clouds,1000,277.45,91.06,60.74537019,0.0
85,21.37,74.25,2020-05-06 05:30:00+05:30,29.71,70,2.93,0,Clear,1008,223.61,32.32666667,14.4222051,0.0
86,30.4,74.03,2020-03-31 20:30:00+05:30,19.45,83,2.55,19,Clouds,1012,181.65,80.93666667,87.20665112,0.0
87,13.3422,77.1017,2021-02-08 11:30:00+05:30,24.99,42,4.25,62,Clouds,1017,811.54,26.45333333,6.32455532,0.0
88,32.1,76.27,2020-09-26 05:30:00+05:30,22.18,83,1.31,0,Clear,1003,769.27,88.71444444,100.0,0.0
89,31.72,76.92,2020-06-17 23:30:00+05:30,20.65,84,1.63,17,Clouds,1003,1168.53,84.99111111,7.615773106,0.0
90,30.23,75.83,2020-02-17 20:30:00+05:30,15.81,70,2.48,0,Clear,1017,237.81,68.50666667,100.0,0.0
91,10.92,79.83,2020-08-20 17:30:00+05:30,31.21,76,0.0,40,Clouds,1003,5.87,54.33,14.31782106,0.0
92,19.95,79.3,2020-08-29 02:30:00+05:30,25.13,93,3.89,100,Rain,1003,183.89,43.51,3.605551275,0.0
93,25.95,80.15,2020-06-13 05:30:00+05:30,32.23,70,3.43,99,Clouds,998,100.84,48.14444444,0.0,0.0
94,27.88,79.92,2020-12-15 08:30:00+05:30,8.64,97,1.0,100,Fog,1019,147.89,55.62555556,18.43908891,0.0
95,18.17,76.05,2020-10-21 08:30:00+05:30,24.71,91,2.36,68,Clouds,1011,655.81,23.28222222,17.2626765,0.0
96,26.78,79.02,2020-12-06 11:30:00+05:30,24.51,58,1.36,0,Clear,1017,153.62,44.37111111,100.0,0.0
97,27.58,81.6,2020-06-04 14:30:00+05:30,29.39,75,0.0,90,Rain,1003,125.32,74.38666667,100.0,0.0
98,22.75,77.72,2020-08-17 14:30:00+05:30,28.41,84,0.0,90,Rain,997,299.63,79.70222222,100.0,0.0
99,21.23,81.63,2020-06-15 14:30:00+05:30,31.64,64,1.0,40,Rain,998,291.23,25.75222222,2.0,0.0
100,15.15,76.93,2020-08-24 14:30:00+05:30,30.53,65,4.44,100,Clouds,1007,452.74,49.92777778,17.2626765,0.0
101,26.45,74.63,2020-12-30 11:30:00+05:30,14.64,23,1.0,0,Haze,1020,513.86,1.735555556,16.15549442,0.0
102,27.2,73.73,2020-09-04 20:30:00+05:30,28.31,83,3.05,70,Rain,1007,294.25,0.102222222,10.19803903,0.0
103,13.98,0.06,2020-06-22 23:30:00+05:30,36.28,39,4.83,41,Clouds,1007,289.06,,100.0,0.0
104,27.15,78.42,2020-04-06 05:30:00+05:30,22.03,66,2.19,48,Clouds,1011,165.89,36.22666667,42.54409477,0.0
105,21.85,84.03,2020-12-08 02:30:00+05:30,16.46,85,0.0,0,Haze,1018,218.73,47.93333333,58.13776741,0.0
106,11.93,79.83,2020-12-28 14:30:00+05:30,27.79,71,0.0,40,Clouds,1011,6.32,21.35111111,4.472135955,0.0
107,28.82,79.03,2020-06-17 20:30:00+05:30,32.28,75,4.19,22,Clouds,997,190.85,77.76,100.0,0.0
