temp,humidity,wind,cloud,weather,pressure,sea level,forest,river,class
26.24,94,2.38,100,Rain,1005,74.09,79.68562,2.121,1
23.46,88,1.52,42,Clouds,1010,233.7,89.61,2.453,1
5.8,86,1.14,100,Rain,1012,4333.4,61.61111111,5.834,1
27.54,90,2.11,99,Rain,1001,250.05,90.28444444,13.418,1
29.81,87,0.95,100,Clouds,998,101.08,89.74444444,2.347,1
25.9,86,2.94,98,Clouds,1006,320.31,97.26111111,1.991,1
25.61,88,1.47,61,Clouds,1009,274.48,94.54666667,1.884,1
24.73,96,1.05,100,Rain,1002,814.95,92.32111111,4.181,1
24.85,92,3.88,100,Rain,999,120.25,84.03888889,20.449,1
27.84,93,0.84,64,Clouds,1001,136.01,80.41666667,0.52,1
26.77,96,1.92,100,Rain,999,48.64,90.55444444,3.666,1
24.75,96,0.71,100,Rain,1005,118.09,90.34555556,6.651,1
23.37,91,1.57,39,Clouds,1007,87.87,92.52888889,2.332,1
27.81,75,3.17,97,Clouds,1004,157.16,21.69984,5.67,1
23.3,95,0.92,99,Clouds,1014,291.49,85.85666667,5.657,1
-15.67,48,1.3,100,Clouds,1028,4376.91,58.05444444,6.556,1
26.18,93,2.06,100,Clouds,1007,50.79,80.85666667,2.162,1
23.84,96,1.21,90,Rain,1006,79.93,83.16444444,2.2,1
27.64,87,6.05,100,Rain,994,113.53,52.29777778,15.452,1
30.6,85,3.19,100,Clouds,996,87.12,90.75111111,6.594,1
26.47,93,0.58,44,Clouds,1007,76.76,93.24666667,2.485,1
23.19,90,5.76,100,Rain,1005,174.27,85.90111111,1.696,1
21.71,93,1.16,61,Clouds,1010,141.51,93.06,3.644,1
28.34,94,0.98,99,Clouds,1004,85.73,88.62777778,22.04,1
22.72,100,4.96,100,Rain,998,630.92,43.12777778,2.156,1
25.28,96,4.35,100,Rain,1005,264.19,21.93777778,2.01,1
28.78,93,1.26,100,Clouds,999,52.35,25.24888889,4.602,1
25.64,93,0.84,100,Rain,1005,339.54,93.83888889,3.153,1
25.53,93,0.93,95,Rain,1004,105.81,57.6525,12.282,1
25.55,97,5.43,100,Rain,1003,129.3,86.48777778,2.917,1
26.76,95,1.45,99,Rain,1003,15.42,90.41888889,2.161,1
28.15,95,0.92,99,Clouds,1000,173.29,89.22888889,4.62,1
26.83,83,3.54,97,Clouds,1011,89.85,57.72222222,2.242,1
24.71,87,3.11,100,Rain,1006,574.25,77.55888889,7.581,1
25.27,88,1.62,100,Rain,995,109.27,93.68777778,4.952,1
15.67,87,1.2,21,Clouds,1007,1886.58,85.67222222,5.727,1
27.28,83,4.42,100,Rain,1006,383.35,60.44666667,2.252,1
25.35,83,2.49,100,Clouds,1007,516.41,84.85777778,1.42,1
20.54,98,2.64,100,Rain,1009,968.01,96.44444444,13.092,1
24.44,95,2.23,100,Clouds,1012,106.52,84.07111111,2.033,1
24.6,94,0.57,100,Rain,1003,94.33,87.89888889,2.459,1
26.56,96,1.09,100,Rain,1002,90.14,90.75888889,1.652,1
20.46,93,1.01,90,Clouds,1007,2076.8,97.56444444,2.171,1
20.03,93,1.6,97,Rain,1012,484,78.95222222,14.525,1
25.11,87,3.56,100,Rain,999,30.5,87.16555556,2.166,1
26.44,92,4.1,40,Thunderstorm,1005,-5.72,42.3265,1.399,1
28.69,83,3.22,94,Clouds,1006,49,85.16222222,3.355,1
26.36,92,1.58,100,Rain,1000,92.75,42.6598,4.012,1
23.78,90,3.97,99,Clouds,1005,464.02,7.435555556,23.983,1
23.26,96,1.04,100,Rain,1011,742.92,93.03333333,2.599,1
25.33,88,1.53,100,Clouds,1000,290.59,95.92777778,3.049,1
26.79,84,4.19,100,Rain,1006,483.22,0,5.076,1
24.14,99,0.71,99,Rain,1005,524.75,94.02777778,2.245,1
21.27,88,0.81,100,Rain,1015,83.26,55.69754,10.7,1
24.93,93,3.95,100,Clouds,1012,54.95,70.17111111,4.953,1
27.76,86,1.11,100,Clouds,1001,330.04,90.27333333,3.227,1
24.24,92,0.77,65,Rain,1007,98.41,81.2365,2.468,1
28.21,55,1.68,100,Clouds,1009,754.33,79.77555556,1.887,1
25.52,91,1.24,95,Clouds,1005,147.4,83.654265,19.689,1
29.05,91,0.71,96,Rain,999,141.54,93.07555556,4.15,1
25.26,94,2.72,35,Clouds,1001,494.71,92.30444444,2.037,1
25.59,94,1.01,98,Rain,1009,377.86,96.56666667,2.399,1
25.97,89,1.54,49,Clouds,1006,265.29,43.63333333,3.41,1
22.77,98,2.84,100,Rain,1011,199.69,89.28333333,9.163,1
1.81,58,1.8,0,Clear,1018,1435.91,95.09777778,2.259,1
25.26,90,3.61,100,Rain,1002,674.86,84.74111111,1.679,1
28.91,71,0.53,100,Clouds,1001,127.44,92.52777778,4.405,1
25.64,94,1.83,100,Rain,996,135.37,91.86222222,4.041,1
25.78,95,1.2,100,Rain,1001,91.91,79.6987,10.193,1
22.11,95,0.76,100,Rain,1000,1826.14,94.43444444,1.818,1
21.28,94,7.55,100,Rain,1009,626.36,2.521111111,5.546,1
27.78,92,1.03,99,Rain,1001,39.56,90.49888889,5.598,1
24.45,97,1.92,100,Rain,1002,469.08,87.88666667,2.169,1
27.71,92,5.15,100,Rain,1001,2.02,63.19,20.706,1
28.81,76,6.65,98,Rain,1006,84.9,89.02555556,1.619,1
27.19,94,1.2,100,Clouds,1010,24.2,87.49333333,2.277,1
21.05,95,5.18,100,Rain,1007,571.91,89.99778,1.65,1
8.35,86,0.65,100,Rain,1010,4824.79,8.557778,0,1
30.12,75,1.62,14,Clouds,1006,87.45,86.16333,5.5,1
