,riverdistance,forest,sealevel,temp,humidity,wind,cloud,weather,pressure,class
172,15.57,91.13444,11.98,25.01,85,1.61,13,Rain,1004,1
173,10.11,88.69,137.04,24.72,92,1.12,74,Clouds,1007,1
174,1.382,84.42667,20.31,29.14,82,1.81,46,Clouds,1001,1
175,3.998,87.83333,161.25,25.75,97,4.13,87,Clouds,1002,1
176,8.057,93.45111,838.58,22.49,99,2.15,34,Clouds,1010,1
177,12.1,45.00222,581.53,26.6,44,1.8,0,Clear,1009,1
178,0.1,54.77444,0,29.34,77,5.57,9,Clear,1008,1
179,0.15,61.78,59.78,39.72,24,2.48,1,Clear,1001,1
180,15.5,92.43556,114.91,36.87,36,2.02,1,Clear,998,1
181,16,96.89111,476.82,23.3,94,1.65,100,Rain,1001,1
182,0.4,80.81667,9.2,35.36,47,3.28,70,Clouds,1003,1
183,3,96.6574,409.16,40.65,21,1.94,81,Clouds,1001,1
184,0.01,69.34667,110,26.39,70,1.32,5,Clear,1010,1
185,3.4,80.42333,330.7,15.15,98,1.51,0,Clear,1012,1
186,3.3,87.77889,57.64,31.38,61,1.94,100,Clouds,1003,1
187,4.2,91.44556,13.73,26.87,94,0.44,83,Clouds,1002,1
188,4.1,88.59444,79.67,29.17,76,1.91,52,Clouds,1006,1
189,0.3,89.76333,68.95,25.72,92,1.24,96,Rain,1002,1
190,2,74.40667,88.6,27.23,94,0.81,88,Clouds,1006,1
191,8,52.27556,511.51,22.44,95,1.35,100,Clouds,1012,1
192,4.6,92.32222,40.55,30.4,76,0.83,26,Clouds,1005,1
193,1.6,43.71222,112.61,27.65,86,0.62,100,Rain,1006,1
194,0.58,92.18889,2.21,27.99,94,3.2,32,Clouds,1006,1
195,1.1,90.54333,56.25,33.75,60,2.32,31,Clouds,1002,1
196,0.05,90.09778,71.34,31.93,76,1.8,100,Rain,998,1
197,2.3,94.54889,36.2,30.97,53,3.33,43,Clouds,1007,1
198,1,90.28444,250.05,24.16,96,1.88,100,Rain,1004,1
199,30,97.26111,320.31,14.69,89,1.17,0,Clear,1013,1
200,0.35,94.54667,274.48,23.43,76,2.51,0,Clear,1013,1
201,1.85,80.41667,136.01,25.24,75,3.1,0,Clear,1006,1
202,2.1,90.55333,48.64,27.25,97,3.7,98,Rain,1001,1
203,0.998,90.34556,118.09,27.4,91,2.04,100,Rain,1001,1
204,12,98.7462,157.16,28.11,78,1.27,47,Rain,1014,1
205,1.7,85.90111,174.27,34.37,43,1.85,55,Clouds,1005,1
206,1.8,93.06,141.51,24.47,68,1.06,1,Clear,1016,1
207,2.75,57.72222,89.85,32.11,62,2.72,29,Clouds,1006,1
208,2.32,93.68778,109.27,22.64,97,0.7,100,Rain,1007,1
209,0.1,60.44667,383.35,25.55,75,1.54,0,Clear,1010,1
210,1.9,96.44444,968.01,20.95,94,3.81,100,Rain,1011,1
211,7.02,97.56444,2076.8,20.55,97,0.64,100,Rain,1006,1
212,0.01,78.95222,484,24.7,74,1.46,13,Clouds,1005,1
213,0.7,91.5984,83.26,32.21,75,2.71,98,Clouds,1002,1
214,1.65,42.44889,340.95,44.89,7,5.18,30,scattered clouds,1003,0
215,0,64.59,154.6,15.89,51,2.47,65,broken clouds,1013,0
216,5.5,59.83222,124.27,35.57,26,2.36,0,clear sky,1008,0
217,7,88.64222,89.92,15.54,57,1.92,0,clear sky,1017,0
218,0.95,63.84,276.73,32.97,49,6.46,0,clear sky,1010,0
219,5.2,58.16333,38.61,27.77,77,2.91,0,clear sky,1009,0
220,1.2,86.74,114.82,31.99,50,1.31,6,clear sky,1009,0
221,4.2,33.44667,404.06,20.91,54,1.16,99,overcast clouds,1006,0
222,4,28.77556,373,27.44,47,3.41,100,overcast clouds,1006,0
