,Unnamed: 0,cause,riverdistance,sealevel,severity,temp,humidity,wind_speed,pressure,class
135,135,Clear,14.3,261.22,0,23.23,52,4.43,1010,0
136,136,Clouds,11.7,417.7,0,20.62,21,1.24,1012,0
137,137,Clouds,23.5,234.32,0,29.25,72,7.56,1000,0
138,138,Rain,27.8,378.78,0,23.88,88,5.06,1002,0
139,139,Clouds,16.7,226.58,0,33.17,50,4.06,1004,0
140,140,Clouds,4.4,203.14,0,19.78,67,1.86,1013,0
141,141,Clouds,10.8,435.46,0,26.07,56,3.73,1006,0
142,142,Clouds,15.2,151.89,0,23.95,41,0.13,1009,0
143,143,Clouds,14.9,1625.74,0,26.56,68,2.48,1002,0
144,144,Clear,15.02,153.62,0,21.94,52,2.44,1006,0
145,145,Thunderstorm,3.2,178.11,0,31.02,65,4.6,995,0
146,146,Clouds,21.9,178.66,0,31.91,22,0.98,1003,0
147,147,Clouds,8.85,81.39,0,27.41,74,4.14,1006,0
148,148,Clear,16.65,443.13,0,33.91,24,1.52,1009,0
149,149,Clouds,28.8,816.75,0,32.31,18,4.13,1014,0
150,150,Clouds,10.5,286.23,0,27.42,69,0.53,1004,0
151,151,Clouds,10.2,1662.83,0,22.19,87,0.66,1006,0
152,152,Rain,25.3,15.89,0,30.63,70,2.43,1007,0
153,153,Clear,18.2,602.12,0,22.44,60,3.28,1016,0
154,154,Clouds,5.8,4.65,0,39.93,29,5.63,1006,0
155,155,Clouds,11.2,165.89,0,31.25,64,4.81,998,0
156,156,Clouds,14.7,256.09,0,29.89,28,1.95,1011,0
157,157,Rain,26.4,918.3,0,22.49,77,9.59,1003,0
158,158,Rain,29.7,574.04,0,23.35,86,6.75,1007,0
159,159,Rain,33.2,701.86,0,21.61,87,7.88,1007,0
160,160,Clear,174,181.65,0,9.72,61,1.09,1021,0
161,161,Clear,9.36,53.76,0,26.18,47,3.27,1012,0
162,162,Haze,37.2,295.24,0,28.27,38,1.52,1010,0
163,163,Rain,36.6,273.97,0,25.34,91,7.19,997,0
164,164,Clear,7.4,2.32,0,30.63,44,4.08,1013,0
165,165,Clear,27.6,227.43,0,19.44,26,1.47,1014,0
166,166,Clouds,5.6,216.86,0,38.86,11,1.39,1005,0
167,167,Clouds,20.7,246.21,0,36.25,43,2.35,997,0
168,168,Rain,39.2,178.92,0,45.02,6,7.36,1000,0
169,169,Clear,1.6,242.96,0,23.72,22,1.36,1008,0
170,170,Clouds,14.8,307.73,0,36.67,17,8.89,1001,0
171,171,Clear,2.4,551.14,0,15.56,92,1.22,1012,0
172,172,Haze,8.3,4.25,0,26.45,75,0.24,1010,0
173,173,Clouds,26.7,359.07,0,28.43,68,1.38,1004,0
174,174,Mist,32.09,572.29,0,25,81,6.08,1005,0
175,175,Clear,14.7,25.71,0,25.94,70,4.92,1011,0
176,176,Clouds,15.9,22.26,0,26.6,35,0.93,1011,0
177,177,Clouds,8.3,1598.02,0,11.59,48,0.94,1012,0
178,178,Rain,27.8,28.81,0,38.04,32,5.7,1006,0
179,179,Clouds,14.4,246.63,0,24.65,33,1.56,1016,0
180,180,Clouds,13.3,360.83,0,19.11,34,1.13,1015,0
