forest,sealevel,temp,humidity,wind,cloud,weather,pressure,class
96.44444,968.01,20.95,94,3.81,100,Rain,1011,1
97.56444,2076.8,20.55,97,0.64,100,Rain,1006,1
78.95222,484,24.7,74,1.46,13,Clouds,1005,1
91.5984,83.26,32.21,75,2.71,98,Clouds,1002,1
89.99777778,571.91,21.72,95,4.31,100,Clouds,1007,1
8.557777778,4824.79,3.14,100,0.48,100,Rain,1017,1
86.16333333,87.45,27.75,88,3.17,34,Clouds,1002,1
92.05666667,3.4,25.39,88,2.51,93,Clouds,1005,1
64.75111111,59.32,31.11,78,3.22,35,Clouds,998,1
91.78888889,151.44,26.16,74,3.85,91,Clouds,1003,1
87.27222222,7.27,26.59,92,2.12,64,Clouds,1010,1
97.68111111,1344.64,21.94,96,0.67,100,Rain,1002,1
90.96777778,71.95,27.51,91,3.58,100,Clouds,1002,1
88.91777778,212.91,27.32,86,1.78,2,Clear,1004,1
46.75555556,699.66,22.13,94,7.2,100,Rain,1005,1
80.31222222,20.29,25.9,94,1.04,100,Clouds,1004,1
91.42777778,119.08,27.13,93,1.23,59,Clouds,1004,1
1.11,5554.87,-11.74,87,0.89,100,Snow,1017,1
86.81666667,11.29,25.62,86,4.42,100,Rain,983,1
59.31222222,75.35,28.33,82,1.22,71,Clouds,1000,1
68.05333333,123.47,27.27,91,3.38,100,Rain,995,1
72.70666667,134.62,26.41,96,1.73,100,Rain,998,1
92.59222222,65.59,22.22,100,0.63,99,Rain,1010,1
57.91,271.95,21.26,99,0.78,99,Rain,1011,1
76.6542,25.64,23.95,96,1.44,99,Clouds,1004,1
82.95888889,6.56,27.58,90,4.68,100,Rain,1003,1
55.15777778,82.42,25.55,93,1.51,98,Rain,1001,1
89.35777778,324.15,27.48,81,3.91,100,Rain,997,1
93.27,659.35,22.89,88,3.91,100,Rain,999,1
78.88666667,139.11,29.81,96,1,98,Clouds,1000,1
83.32777778,203.34,27.28,89,2.23,93,Clouds,1006,1
90.96555556,44.38,26.3,95,0.7,94,Rain,1008,1
84.56666667,240.61,23.41,96,1.46,100,Rain,1015,1
0.906666667,608.34,24.79,87,5.64,40,Clouds,1007,1
92.92333333,89.65,26.23,95,2.01,93,Clouds,1004,1
84.08222222,15.29,26.18,93,4.04,100,Rain,994,1
81.5791,453.22,26.23,87,3.12,100,Clouds,1003,1
93.07777778,373.23,25.57,67,0.29,37,Clouds,1009,1
79.681645,11.82,24.06,95,1.38,100,Rain,1005,1
61.51888889,17.97,28.02,89,2.88,28,Clouds,1002,1
86.44888889,170.57,26.1,87,2.18,97,Clouds,1004,1
93.02,1010.95,19.93,98,2.03,100,Clouds,1009,1
30.90444444,289.66,23.02,96,3.83,100,Rain,1007,1
77.91,23.57,24.01,89,9.15,100,Rain,1007,1
4.451111111,326.77,26.38,80,3.72,99,Clouds,1001,1
91.39777778,2007.48,18.83,96,0.79,100,Rain,1010,1
81.34555556,135.57,26.82,97,1.09,50,Clouds,1001,1
89.07555556,762.3,20.47,97,0.62,100,Rain,1007,1
88.33888889,1151.55,17.81,91,0.74,90,Rain,1010,1
91.12,300.76,23.95,95,4.07,100,Rain,1003,1
91.95,1587.08,20.8,90,0.85,64,Clouds,1006,1
91.85222222,468.04,23.84,97,0.96,100,Rain,1002,1
28.12666667,80.41,23.83,97,1.01,100,Rain,1011,1
82.10222222,74.25,24.38,96,0.94,37,Clouds,1013,1
94.08111111,438.33,23.87,91,1.11,97,Clouds,1006,1
86.41888889,68.79,25.95,89,1.44,100,Rain,1003,1
16.71111111,255.07,27.24,89,1.37,19,Clouds,1000,1
69.71111111,2789.92,14.96,92,0.34,98,Rain,1010,1
87.13666667,41.45,26.14,94,4.51,100,Rain,1004,1
83.79111111,15.45,25.6,93,2.21,87,Rain,1007,1
97.61888889,2765.99,10.39,97,0.65,100,Rain,1012,1
79.94333333,118.11,28.66,85,3.94,99,Clouds,1001,1
97.00444444,377.79,23.68,95,1.49,100,Clouds,1009,1
51.31,12,25.25,77,0.76,78,Clouds,1006,1
19.60333333,256.84,25.99,97,2.46,100,Rain,996,1
86.85666667,2119.54,18.45,99,0.54,100,Rain,1009,1
84.43666667,110.17,23.15,97,1.49,84,Clouds,1010,1
89.47555556,73.56,26.91,89,1.46,99,Clouds,1000,1
89.73444444,1673.76,23.32,81,0.61,59,Clouds,1007,1
51.52444444,768.84,23.45,84,4.37,100,Clouds,1009,1
88.73333333,4.95,27.39,91,2.11,42,Clouds,1010,1
38.45555556,340.62,21.74,94,1.3,22,Clouds,1015,1
65.697245,1.75,31.36,68,5.66,73,Rain,999,1
1.295555556,550.19,23.86,92,5.41,100,Rain,1003,1
23.17555556,188.01,26.13,94,0.91,93,Clouds,1008,1
88.35666667,4.68,25.83,95,3.34,100,Clouds,1009,1
91.09111111,126.87,26.34,79,3.52,94,Clouds,1003,1
66.6544,91.26,25.57,98,2,100,Rain,1001,1
91.19,20.18,23.47,97,2.09,100,Rain,1005,1
67.49222222,-0.2,23.6,97,1.97,100,Rain,1010,1
89.31777778,65.69,26.76,95,1.37,90,Clouds,1005,1
81.55777778,103.03,23.55,95,5.18,100,Rain,1014,1
82.67889,124.81,25.96,89,1.21,99,Clouds,1002,1
73.29222222,2.86,27.57,91,2.18,100,Rain,1001,1
86.28777778,399.93,23.2,99,5.03,100,Rain,1003,1
60.91888889,35.96,27.63,91,3.16,100,Clouds,998,1
80.61111111,1954.28,20.8,97,0.81,100,Rain,1001,1
76.99666667,53.19,26.1,95,2.33,100,Rain,1007,1
80.19333333,35.12,25.43,92,3.21,100,Rain,1010,1
80.25555556,52.96,24.7,94,3.03,100,Rain,1007,1
95.37111111,204.79,24.51,97,3.74,100,Rain,999,1
1.014444444,293.08,25.42,91,3.32,100,Clouds,1004,1
81.89666667,299.29,26.43,83,1.71,100,Clouds,1006,1
96.18333333,55.16,26.37,95,1.95,90,Clouds,1000,1
88.16666667,137.7,23.98,93,1.2,99,Rain,1011,1
38.88666667,42.75,27.73,92,2.97,99,Rain,995,1
71.90333333,408.68,23.14,98,5.9,100,Rain,1006,1
90.42,17.75,24.59,98,5.63,100,Rain,1008,1
37.98444444,2720.47,0.68,96,0.54,74,Clouds,1014,1
88.44333333,30.36,26.8,91,7.08,100,Rain,999,1
91.13444444,11.98,26.44,84,5.81,100,Clouds,995,1
80.2167,395.33,24.97,95,6.82,100,Rain,996,1
84.96111111,2903.48,15.12,91,0.59,41,Clouds,1011,1
88.69,137.04,22.99,95,1.76,100,Rain,1007,1
85.57444444,113.7,25.48,91,3.33,100,Rain,1003,1
84.42666667,20.31,26.05,93,2.67,100,Rain,992,1
91.51555556,76.61,28.7,81,1.86,42,Clouds,1003,1
70.52444444,299.1,24.87,92,3.94,100,Rain,1000,1
87.83333333,161.25,24.45,95,7.59,100,Rain,1003,1
28.99222222,138.62,26.27,96,2.11,100,Clouds,1004,1
92.26333333,2.93,25.3,92,4.33,100,Rain,1009,1
93.45111111,838.58,23.54,96,1.58,100,Rain,1011,1
80.22111111,5.34,26.04,89,2.03,96,Clouds,1010,1
45.00222222,581.53,24.92,84,5.74,94,Clouds,1000,1
54.77555556,0,26.3,91,3.62,99,Rain,1008,1
91.47555556,90.98,25.34,94,0.75,100,Rain,1001,1
61.78,59.78,29.95,77,3.86,95,Clouds,1002,1
92.99444444,208.13,25.67,88,4.45,100,Rain,992,1
8.378888889,8.87,26,83,3.6,90,Rain,999,1
0,164.36,27.83,86,5.07,100,Clouds,998,1
61.03555556,629.56,23.24,92,6.71,100,Rain,1005,1
90.83666667,125.15,26.23,92,1.61,100,Rain,1005,1
92.43555556,114.91,26.86,93,0.42,100,Rain,1002,1
47.82111111,337.92,26.3,89,1.62,8,Clear,1007,1
96.89111111,476.82,23.81,96,1.18,100,Clouds,1005,1
